Team,Alias,From,To,Yr plyf,Chmp,SBwl,Conf,Div
Arizona Cardinals,Phoenix Cardinals,1988,1993,0,0,0,0,0
Arizona Cardinals,Arizona Cardinals,1994,2018,5,0,0,1,4
Atlanta Falcons,Atlanta Falcons,1966,2018,14,0,0,2,8
Baltimore Ravens,Baltimore Ravens,1996,2018,10,2,2,2,5
Buffalo Bills,Buffalo Bills,1960,2018,18,2,0,4,12
Carolina Panthers,Carolina Panthers,1995,2018,8,0,0,2,7
Chicago Bears,Chicago Bears,1922,2018,25,8,1,2,23
Cincinnati Bengals,Cincinnati Bengals,1968,2018,14,0,0,2,11
Cleveland Browns,Cleveland Browns,1946,2018,28,8,0,0,24
Dallas Cowboys,Dallas Cowboys,1960,2018,32,5,5,8,24
Denver Broncos,Denver Broncos,1960,2018,22,3,3,8,16
Detroit Lions,Detroit Lions,1934,2018,17,4,0,0,9
Green Bay Packers,Green Bay Packers,1921,2018,32,13,4,5,29
Houston Texans,Houston Texans,2002,2018,4,0,0,0,5
Indianapolis Colts,Indianapolis Colts,1984,2018,17,1,1,2,12
Jacksonville Jaguars,Jacksonville Jaguars,1995,2018,7,0,0,0,4
Kansas City Chiefs,Kansas City Chiefs,1963,2018,19,1,1,2,11
Los Angeles Chargers,San Diego Chargers,1961,2016,17,1,0,1,14
Los Angeles Chargers,Los Angeles Chargers,2017,2018,0,0,0,0,1
Los Angeles Rams,Los Angeles Rams,1946,1994,21,1,0,1,15
Los Angeles Rams,St. Louis Rams,1995,2015,5,1,1,2,3
Los Angeles Rams,Los Angeles Rams,2016,2018,1,0,0,0,2
Miami Dolphins,Miami Dolphins,1966,2018,23,2,2,5,15
Minnesota Vikings,Minnesota Vikings,1961,2018,29,0,0,4,21
New England Patriots,New England Patriots,1971,2018,24,5,5,10,20
New Orleans Saints,New Orleans Saints,1967,2018,11,1,1,1,7
New York Giants,New York Giants,1925,2018,32,8,4,5,26
New York Jets,New York Jets,1963,2018,14,1,1,1,5
Oakland Raiders,Los Angeles Raiders,1982,1994,7,1,1,1,4
Oakland Raiders,Oakland Raiders,1995,2018,4,0,0,1,4
Philadelphia Eagles,Philadelphia Eagles,1944,2018,25,4,1,3,15
Pittsburgh Steelers,Pittsburgh Steelers,1945,2018,31,6,6,8,25
San Francisco 49ers,San Francisco 49ers,1946,2018,26,5,5,6,21
Seattle Seahawks,Seattle Seahawks,1976,2018,16,1,1,3,11
Tampa Bay Buccaneers,Tampa Bay Buccaneers,1976,2018,10,1,1,1,7
Tennessee Titans,Houston Oilers,1960,1996,15,2,0,0,6
Tennessee Titans,Tennessee Oilers,1997,1998,0,0,0,0,0
Tennessee Titans,Tennessee Titans,1999,2018,7,0,0,1,4
Washington Redskins,Washington Redskins,1937,2018,23,5,3,5,15
