state_name,unitid,count,mean
Wisconsin,240444,8,6060.5
Wisconsin,240453,8,3722.0
Virginia,233921,11,5427.727272727273
Virginia,234030,11,3696.3636363636365
Virginia,234076,11,3412.181818181818
Virginia,232186,12,2825.8333333333335
Virginia,232982,11,2709.4545454545455
Texas,228723,13,8992.076923076924
Texas,228778,13,7506.538461538462
Texas,229027,13,4794.384615384615
Texas,229115,13,4711.846153846154
Texas,228459,13,4414.461538461538
Texas,227216,13,4226.384615384615
Texas,225511,13,3792.6153846153848
Texas,228796,11,2931.2727272727275
Texas,228769,13,2554.230769230769
Ohio,204796,13,6821.384615384615
Ohio,204857,13,4112.538461538462
Ohio,203517,13,4043.846153846154
Ohio,201885,13,4032.6923076923076
New York,193900,12,5176.666666666667
New York,196088,12,3501.75
New York,190415,9,3232.4444444444443
New York,195809,12,3092.3333333333335
New York,196097,12,2773.1666666666665
New York,190594,12,2019.5
New York,190150,12,1418.8333333333333
Minnesota,174066,9,5573.0
Michigan,170082,8,3833.5
Michigan,169248,13,3625.3076923076924
Michigan,169798,13,2449.4615384615386
Indiana,151351,13,7549.692307692308
Indiana,243780,13,6904.153846153846
Indiana,150136,12,3813.8333333333335
Indiana,151111,13,3527.3076923076924
Georgia,139959,10,4997.8
Georgia,139940,10,3035.7
Florida,132903,11,6422.818181818182
Florida,134130,8,6391.625
Florida,134097,8,5949.5
Florida,133951,8,3671.375
Florida,133669,9,2923.4444444444443
California,110662,10,4857.1
California,110644,10,4829.0
California,110653,10,4638.8
California,110608,10,4349.1
California,110635,10,4295.3
California,122409,9,4281.111111111111
California,110705,10,4243.3
California,110565,10,4132.7
California,110680,10,4125.7
California,110583,10,4121.8
California,122597,9,3521.777777777778
California,122755,9,3128.777777777778
California,110529,9,3088.3333333333335
California,123961,9,2920.0
California,110617,10,2801.0
California,110556,10,2791.6
California,110592,10,2094.4
Arizona,104151,13,8452.846153846154
Arizona,104179,12,7257.5
Arizona,105330,8,4754.375
